accent	giọng
Dweck	Dweck
dweeble	dweeble
dwell	trú ngụ
dwelled	trú ngụ
dweller	người lùn
dwellers	cư dân
dwelling	trú ngụ
dwellings	nhà ở
dwells	ngự nhà
dwelt	cư ngụ
DWI	DWI
Dwyer	Dwyer
Dwight	Dwight
Dwyka	Dwyka
DWIM	DWIM
dwindle	làm suy nhược
dwindled	suy yếu
dwindlement	suy nhược
dwindles	dwindles
dwindling	suy yếu
dwine	dwine
dwined	ở lại
dwines	dwines
dwining	làm suy yếu
Dwinnell	Dwinnell
Dworak	cận thần
earners	người có thu nhập
earnest	nghiêm trang
earnestful	nghiêm túc
earnestly	tha thiết
earnestness	sự nghiêm túc
earnestnesses	sự nghiêm túc
earnest-penny	kiếm tiền-penny
earnests	kiếm tiền
earnful	kiếm tiền
earnie	người kiếm tiền
earning	thu nhập
earnings	thu nhập
earns	kiếm được
earock	earock
EAROM	EAROM
Earp	Earp
earphone	tai nghe
earphones	tai nghe
earpick	earpick
earpiece	ống nghe
earpieces	tai nghe
ear-piercing	xỏ lỗ tai
earplug	tai nghe
earplugs	nút bịt tai
earreach	tai
ear-rending	xỏ lỗ tai
ear-rent	cho thuê tai
earring	bông tai
ear-ring	bông tai
earringed	bông tai
earrings	Hoa tai
ears	đôi tai
earscrew	bông tai
earsh	Nhân vật
earshell	vỏ tai
earshot	phát lại
earshots	tai nghe
earsore	tai nghe
earsplitting	tách tai
ear-splitting	sự chia tách tai
earspool	tai nghe
earstone	đá quý
earstones	earstones
eartab	eartab
eartag	khuyên tai
eartagged	bịt tai
Earth	trái đất
Eartha	Eartha
earth-apple	trái đất táo
earth-ball	trái đất
earthboard	trái đất
earth-board	trái đất
earthborn	earthborn
earth-born	sanh ra
earthbound	trái đất
earth-bound	trái đất
earth-boundness	liên kết trái đất
earthbred	thuộc về đất
earth-convulsing	co giật trái đất
earth-delving	-sự đào đất
earth-destroying	phá hủy trái đất
earth-devouring	ăn đất
earth-din	Nửa ngày
earthdrake	earthdrake
earth-dwelling	đất ở
earth-eating	ăn trái đất
earthed	nối đất
earthen	đất
earth-engendered	được sinh ra trên trái đất
earthenhearted	có trái đất
earthenware	đồ đất nung
earthenwares	earthenwares
earthfall	trái đất
earthfast	trái đất
earth-fed	ăn đất
earthgall	earthgall
earth-god	trái đất thần
earth-goddess	nữ thần đất
earthgrubber	người làm đất
earth-homing	trái đất
