a	/ā,ə/	(a) một
embroider	/emˈbroidər/	(v) thêu
endear	/enˈdi(ə)r/	(v) kết thúc
entourage	/ˌänto͞oˈräZH/	(n) đoàn tùy tùng
ere	/e(ə)r/	(n) ere
exchange	/iksˈCHānj/	(v) trao đổi, giao dịch
excuse	/ik'skju:s/	(v) tha thứ
explain	/ikˈsplān/	(v) giải thích
expound	/ikˈspound/	(v) giải thích
fancy	ˈfansē	ưa thích
hello	/heˈlō,həˈlō/	(v) xin chào
hi	/hī/	(n) chào
key	/kē/	(n) chìa khóa
map	/map/	(n) bản đồ
melancholia	/,melən'kəʊliə/	(n) bệnh u sầu
melancholiac	/melən'kouliæk/	(adj) mắc bệnh u sầu, (n) người mắc bệnh u sầu
melancholy	/'melənkəli/	(n) sự u sầu, (adj) u sầu, đau buồn
peasant	/'peznt/	(n) nông dân, bần nông, người cục mịch
peasantry	/'pezntri/	(n) nông dân, giai cấp nông dân
pease	/pi:z/	(n) đậu hà lan, (v) trêu trọc
peashooter	/'pi:ʃu:tə/	(n) ống xì thổi hột đậu (đồ chơi trẻ con)
siding	/'saidiŋ/	(n) đường tàu tránh
sidle	/'saidl/	(v) đi len lén, đi rụt rè
sidy	/sidy/	(adj) làm bộ, lên mặt, huênh hoang
top	/täp/	(n) hàng đầu
turgid	/'tɜ:dʒid/	(adj) khoa trương, cương, sưng
fancy	/ˈfansē/	(v) ưa thích
feign	/fān/	(v) giả vờ
field	/fēld/	(n) cánh đồng
firm	/fərm/	(v) chắc chắn
flea	/flē/	(n) bọ chét
fluid	/ˈflo͞oid/	(n) chất lỏng
force	/fôrs/	(n) lực lượng
freeze	/frēz/	(v) đông cứng
fume	/fyo͞om/	(n) khói
fuck	/fək/	(v) đụ
fine	/fēn,fīn,ˈfēnā/	(adj) khỏe
garret	/ˈgarit/	(n) garret
genome	/ˈjēˌnōm/	(n) bộ gen
giraffe	/jəˈraf/	(n) con hươu cao cổ
gown	/goun/	(n) áo choàng
gravel	/ˈgravəl/	(n) sỏi
group	/gro͞op/	(n) nhóm
grown	//	(adj) mới lớn
grow	/grō/	(v) lớn lên
gust	/gəst/	(n) ham muốn
gun	/gən/	(n) súng
ghost	/gōst/	(n) ma
gay	/gā/	(n) người đồng tính
game	/gām/	(n) trò chơi
great	/grāt/	(adj) tuyệt quá
handsome	/ˈhansəm/	(adj) đẹp trai
have	/hav/	(v) có
help	/help/	(v) cứu giúp
hike	/hīk/	(v) đi lang thang
hole	/hōl/	(n) lỗ
hold	/hōld/	(v) giữ
hour	/ou(ə)r/	(n) giờ
hunch	/hənCH/	(v) linh cảm
hysteria	/-ˈsti(ə)rēə,hiˈsterēə/	(adj) cuồng loạn
