a	/ā,ə/	(a) một
drab	/drab/	(adj) buồn tẻ
dream	/drēm/	(v) mơ tưởng
drowsy	/ˈdrouzē/	(adj) buồn ngủ
dry	/drī/	(adj) khô
dumb	/dəm/	(adj) câm
duty	/ˈd(y)o͞otē/	(n) nhiệm vụ
edible	/ˈedəbəl/	(adj) ăn được
electricity	/ilekˈtrisitē,ˌēlek-/	(n) điện lực
embroider	/emˈbroidər/	(v) thêu
endear	/enˈdi(ə)r/	(v) kết thúc
entourage	/ˌänto͞oˈräZH/	(n) đoàn tùy tùng
ere	/e(ə)r/	(n) ere
exchange	/iksˈCHānj/	(v) trao đổi, giao dịch
excuse	/ik'skju:s/	(v) tha thứ
explain	/ikˈsplān/	(v) giải thích
expound	/ikˈspound/	(v) giải thích
fancy	/ˈfansē/	(adj) ưa thích
fat	/fat/	(adj) mập mạp, béo tốt
father	/ˈfäT͟Hər/	(n) cha
feign	/fān/	(v) giả vờ
field	/fēld/	(n) cánh đồng
fine	/fēn,fīn,ˈfēnā/	(adj) khỏe
firm	/fərm/	(v) chắc chắn
fix	/fiks/	sửa chữa
flea	/flē/	(n) bọ chét
fluid	/ˈflo͞oid/	(n) chất lỏng
force	/fôrs/	(n) lực lượng
freeze	/frēz/	(v) đông cứng
fuck	/fək/	(v) đụ
fume	/fyo͞om/	(n) khói
game	/gām/	(n) trò chơi
garret	/ˈgarit/	(n) garret
gay	/gā/	(n) người đồng tính
genome	/ˈjēˌnōm/	(n) bộ gen
ghost	/gōst/	(n) ma
giraffe	/jəˈraf/	(n) con hươu cao cổ
go	/gō/	đi
gown	/goun/	(n) áo choàng
grand	/grand/	(adj) lớn
gravel	/ˈgravəl/	(n) sỏi
great	/grāt/	(adj) tuyệt quá
group	/gro͞op/	(n) nhóm
grow	/grō/	(v) lớn lên
grown	/ɡrəu/	(adj) mới lớn, gia tăng, phát triển
gun	/gən/	(n) súng
gust	/gəst/	(n) ham muốn
handsome	/ˈhansəm/	(adj) đẹp trai
have	/hav/	(v) có
hell	/hel/	(n) địa ngục
hello	/heˈlō,həˈlō/	(v) xin chào
help	/help/	(v) cứu giúp
hi	/hī/	(n) chào
hike	/hīk/	(v) đi lang thang
hold	/hōld/	(v) giữ
hole	/hōl/	(n) lỗ
hour	/ou(ə)r/	(n) giờ
how	/hou/	làm sao?
hunch	/hənCH/	(v) linh cảm
hysteria	/-ˈsti(ə)rēə,hiˈsterēə/	(adj) cuồng loạn
idea	/ai'diə/	(n) quan niệm, ý tưởng, tư tưởng, ý kiến
key	/kē/	(n) chìa khóa
laptop	/ˈlapˌtäp/	(n) máy tính xách tay
laugh	/laf/	(v) cười, phấn khích
madness	/ˈmadnəs/	(adj) điên cuồng
make	/māk/	(v) chế tạo, làm
map	/map/	(n) bản đồ
melancholia	/,melən'kəʊliə/	(n) bệnh u sầu
melancholiac	/melən'kouliæk/	(adj) mắc bệnh u sầu, (n) người mắc bệnh u sầu
melancholy	/'melənkəli/	(n) sự u sầu, (adj) u sầu, đau buồn
mother	/ˈməT͟Hər/	(n) mẹ
note	/nōt/	(n) chú thích, chú thích, (v) viết ghi chú, tập viết
peasant	/'peznt/	(n) nông dân, bần nông, người cục mịch
peasantry	/'pezntri/	(n) nông dân, giai cấp nông dân
pease	/pi:z/	(n) đậu hà lan, (v) trêu trọc
peashooter	/'pi:ʃu:tə/	(n) ống xì thổi hột đậu (đồ chơi trẻ con)
please	/plēz/	(v) xin vui lòng, làm ơn
sad	/sad/	(adj) buồn bã
sample	/ˈsampəl/	(n) mẫu vật
shop	/SHäp/	cửa tiệm
sick	/sik/	(adj) đau ốm, bị ốm
siding	/'saidiŋ/	(n) đường tàu tránh
sidle	/'saidl/	(v) đi len lén, đi rụt rè
sidy	/sidy/	(adj) làm bộ, lên mặt, huênh hoang
simple	/ˈsimpəl/	(adj) đơn giản
slap	/slap/	tát
soup	/so͞op/	súp
top	/täp/	(n) hàng đầu
turgid	/'tɜ:dʒid/	(adj) khoa trương, cương, sưng
what	/(h)wät,(h)wət/	cái gì?
hungry	/ˈhəNGgrē/	đói bụng
lovely	/ˈləvlē/	đáng yêu
case	/kās/	trường hợp
test	/test/	kiểm tra
