a	/a,a/	(a) mot
handsome	/_hansam/	(adj) dep trai
have	/hav/	(v) co
hell	/hel/	(n) dia nguc
hello	/he_lo,ha_lo/	(v) xin chao
help	/help/	(v) cuu giup
hi	/hi/	(n) chao
hike	/hik/	(v) di lang thang
hold	/hold/	(v) giu
hole	/hol/	(n) lo
hour	/ou(a)r/	(n) gio
how	/hou/	lam sao?
hunch	/hanCH/	(v) linh cam
hysteria	/-_sti(a)rea,hi_sterea/	(adj) cuong loan
idea	/ai'dia/	(n) quan niem, y tuong, tu tuong, y kien
key	/ke/	(n) chia khoa
laptop	/_lap_tap/	(n) may tinh xach tay
laugh	/laf/	(v) cuoi, phan khich
madness	/_madnas/	(adj) dien cuong
make	/mak/	(v) che tao, lam
map	/map/	(n) ban do
melancholia	/,melan'ka_lia/	(n) benh u sau
melancholiac	/melan'kouliaek/	(adj) mac benh u sau, (n) nguoi mac benh u sau
melancholy	/'melankali/	(n) su u sau, (adj) u sau, dau buon
mother	/_maT_Har/	(n) me
note	/not/	(n) chu thich, chu thich, (v) viet ghi chu, tap viet
peasant	/'peznt/	(n) nong dan, ban nong, nguoi cuc mich
peasantry	/'pezntri/	(n) nong dan, giai cap nong dan
pease	/pi:z/	(n) dau ha lan, (v) treu troc
peashooter	/'pi:_u:ta/	(n) ong xi thoi hot dau (do choi tre con)
please	/plez/	(v) xin vui long, lam on
sad	/sad/	(adj) buon ba
sample	/_sampal/	(n) mau vat
shop	/SHap/	cua tiem
sick	/sik/	(adj) dau om, bi om
siding	/'saidin/	(n) duong tau tranh
sidle	/'saidl/	(v) di len len, di rut re
sidy	/sidy/	(adj) lam bo, len mat, huenh hoang
simple	/_simpal/	(adj) don gian
slap	/slap/	tat
soup	/so_op/	sup
top	/tap/	(n) hang dau
turgid	/'te:d_id/	(adj) khoa truong, cuong, sung
what	/(h)wat,(h)wat/	cai gi?
hungry	/_haNGgre/	doi bung
lovely	/_lavle/	dang yeu
case	/kas/	truong hop
test	/test/	kiem tra
